Name,Year,Mileage,Engine_capacity,Engine_type,Power,Transmission,Drive,Fuel_consumption_mixed,Acceleration_to_100,Cost
BMW 5 серия 2.8 AT,1998,200000,2.8,Бензин,193,Автомат,Задний,10.7,8.8,50000
BMW 5 серия 2.0 MT,1990,1488,2,Бензин,150,Механика,Задний,8.9,10.6,145000
BMW 3 серия 1.8 MT,1985,400000,1.8,Бензин,90,Механика,Задний,7.9,12.1,150000
BMW 5 серия 2.5 AT,1991,400000,2.5,Бензин,192,Автомат,Задний,9,9.5,170000
BMW 3 серия 1.8 MT,1997,430000,1.8,Бензин,115,Механика,Задний,8.1,11.3,170000
BMW 5 серия 2.0 MT,1989,495500,2,Бензин,129,Механика,Задний,10.1,11.9,190000
BMW 3 серия 1.6 MT,1997,150000,1.6,Бензин,102,Механика,Задний,7.4,12.7,198000
BMW 5 серия 2.0 MT,1989,355000,2,Бензин,129,Механика,Задний,10.1,11.9,199999
BMW X1 2.0 AMT,2024,0,2,Бензин,204,Робот,Полный,7.6,7.7,6850000
BMW X3 2.0 AT,2024,0,2,Бензин,184,Автомат,Полный,7.7,8.3,7350000
BMW 5 серия 3.0 MT,1990,200000,3,Бензин,188,Механика,Задний,10.8,8.5,200000
BMW X4 2.0 AT,2015,70000,2,Бензин,184,Автомат,Полный,6.9,8.1,200000
BMW 3 серия 2.0 MT,1993,180000,2,Бензин,150,Механика,Задний,9,10,210000
BMW 5 серия 2.5 AT,2001,353254,2.5,Бензин,192,Автомат,Задний,10.3,8.9,225000
BMW 5 серия 2.0 MT,1991,300000,2,Бензин,150,Механика,Задний,8.9,10.6,230000
BMW 3 серия 1.6 MT,1993,424750,1.6,Бензин,102,Механика,Задний,7.4,12.7,250000
BMW 5 серия 2.0 MT,1987,500000,2,Бензин,129,Механика,Задний,9.4,12.1,270000
BMW 3 серия 1.6 MT,1993,410000,1.6,Бензин,102,Механика,Задний,7.4,12.7,280000
BMW 3 серия 1.6 MT,1997,408570,1.6,Бензин,102,Механика,Задний,7.4,12.7,293000
BMW 5 серия 2.9 AT,2000,320000,2.9,Дизель,193,Автомат,Задний,8.3,8,295000
BMW 5 серия 2.0 MT,1989,420000,2,Бензин,129,Механика,Задний,10.1,11.9,300000
BMW 5 серия 2.5 MT,1990,452051,2.5,Бензин,170,Механика,Задний,9.5,9.5,300000
BMW 5 серия 2.5 AT,1994,420000,2.5,Бензин,192,Автомат,Задний,9,9.5,320000
BMW 3 серия 2.5 MT,1985,250000,2.5,Бензин,170,Механика,Задний,9,8,320000
BMW 5 серия 2.5 MT,1990,700000,2.5,Бензин,170,Механика,Задний,9.5,9.5,320000
BMW 5 серия 2.5 AT,1996,10000,2.5,Бензин,170,Автомат,Задний,10.3,9.6,325000
BMW 5 серия 2.0 MT,1999,200000,2,Бензин,150,Механика,Задний,9.1,10.2,335000
BMW 5 серия 2.0 MT,1998,300000,2,Бензин,150,Механика,Задний,9.1,10.2,349990
BMW 3 серия 2.0 MT,1998,340000,2,Дизель,136,Механика,Задний,5.9,9.9,350000
BMW 5 серия 2.0 AT,1997,141000,2,Бензин,150,Автомат,Задний,9.9,11.5,350000
BMW 5 серия 2.5 MT,2000,310000,2.5,Бензин,192,Механика,Задний,9.4,8.1,365000
BMW 5 серия 2.2 MT,2000,182000,2.2,Бензин,170,Механика,Задний,9,9.1,370000
BMW 3 серия 2.0 AT,2000,389000,2,Бензин,150,Автомат,Задний,10,10.9,380000
BMW 3 серия 1.6 MT,1995,380000,1.6,Бензин,102,Механика,Задний,7.4,12.7,385000
BMW X5 4.4 AT,2000,350000,4.4,Бензин,286,Автомат,Полный,13.9,7.5,390000
BMW 5 серия 2.5 AT,1998,362000,2.5,Бензин,170,Автомат,Задний,10.3,9.6,399000
BMW 5 серия 3.4 MT,1993,250000,3.4,Бензин,211,Механика,Задний,9.8,7.7,399000
BMW 3 серия 1.6 MT,1998,370000,1.6,Бензин,102,Механика,Задний,8,13.2,399999
BMW 5 серия 2.0 MT,1999,467000,2,Бензин,150,Механика,Задний,9.1,10.2,400000
BMW 5 серия 2.0 MT,1998,330000,2,Бензин,150,Механика,Задний,9.1,10.2,400000
BMW 3 серия 1.9 MT,1999,350000,1.9,Бензин,105,Механика,Задний,9,12.4,425000
BMW 5 серия 2.8 AT,1998,310000,2.8,Бензин,193,Автомат,Задний,10.7,8.8,430000
BMW 5 серия 2.0 MT,1999,410000,2,Бензин,150,Механика,Задний,9.1,10.2,450000
